data_zamowienia,produkt,kategoria,miasto,ilosc,cena_jednostkowa,wartosc_zamowienia
2024-01-01,Hantle,Sport,Białystok,4,69.26,277.04
2024-01-01,Rower,Sport,Warszawa,2,1425.92,2851.84
2024-01-01,Plecak,Sport,Katowice,4,531.8,2127.2
2024-01-02,Atlas,Książki,Warszawa,4,60.84,243.36
2024-01-03,Klocki,Zabawki,Katowice,4,290.29,1161.16
2024-01-03,Perfumy,Kosmetyki,Lublin,1,81.73,81.73
2024-01-03,Półka,Meble,Katowice,2,1862.84,3725.68
2024-01-03,Półka,Meble,Wrocław,2,291.04,582.08
2024-01-04,Półka,Meble,Katowice,1,1352.64,1352.64
2024-01-04,Poradnik,Książki,Wrocław,3,75.29,225.87
2024-01-05,Poradnik,Książki,Kraków,4,36.15,144.6
2024-01-05,Bidon,Sport,Gdańsk,4,1719.56,6878.24
2024-01-06,Słuchawki,Elektronika,Lublin,5,3633.62,18168.1
2024-01-07,Biurko,Meble,Szczecin,1,699.74,699.74
2024-01-07,Komoda,Meble,Poznań,5,556.97,2784.85
2024-01-07,Smartphone,Elektronika,Lublin,1,222.22,222.22
2024-01-07,Perfumy,Kosmetyki,Poznań,1,193.68,193.68
2024-01-07,Buty,Odzież,Białystok,3,134.18,402.54
2024-01-07,Mata do jogi,Sport,Lublin,1,1223.73,1223.73
2024-01-08,Perfumy,Kosmetyki,Katowice,4,31.71,126.84
2024-01-08,Buty,Odzież,Poznań,5,75.68,378.4
2024-01-08,Klocki,Zabawki,Kraków,5,184.1,920.5
2024-01-08,Smartphone,Elektronika,Warszawa,2,1122.19,2244.38
2024-01-08,Kurtka,Odzież,Poznań,5,58.21,291.05
2024-01-08,Kryminał,Książki,Białystok,3,36.51,109.53
2024-01-09,Odkurzacz,AGD,Warszawa,1,119.43,119.43
2024-01-09,Smartwatch,Elektronika,Wrocław,5,3935.23,19676.15
2024-01-09,Smartphone,Elektronika,Białystok,3,881.55,2644.65
2024-01-09,Perfumy,Kosmetyki,Wrocław,5,109.82,549.1
2024-01-10,Szafa,Meble,Poznań,1,1269.16,1269.16
2024-01-10,Tablet,Elektronika,Katowice,2,1748.48,3496.96
2024-01-10,Bidon,Sport,Łódź,5,1272.59,6362.95
2024-01-10,Rower,Sport,Katowice,5,1508.6,7543.0
2024-01-10,Mata do jogi,Sport,Poznań,4,354.82,1419.28
2024-01-11,Słownik,Książki,Łódź,2,26.87,53.74
2024-01-11,Półka,Meble,Warszawa,3,1459.78,4379.34
2024-01-11,Szafa,Meble,Gdańsk,3,1849.59,5548.77
2024-01-11,Kurtka,Odzież,Łódź,5,278.6,1393.0
2024-01-12,Biurko,Meble,Poznań,2,886.58,1773.16
2024-01-12,Tablet,Elektronika,Kraków,1,3278.71,3278.71
